Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator
Other,Vegetables,0.6,1400,1700,1550,2024-09-25,211,300,0.00038684719535783365
Other,Vegetables,12.9,3000,8000,5500,2024-12-15,292,5000,0.0023450281766951462
Other,Vegetables,24.7,1000,2500,1750,2024-09-26,212,1500,0.014106225014277555
Other,Vegetables,25.4,1000,4000,2500,2024-11-05,252,3000,0.010155937624950019
Other,Vegetables,26.1,1000,4000,2500,2024-11-04,251,3000,0.010435825669732108
Other,Vegetables,26.4,1000,3500,2250,2024-10-31,247,2500,0.011728120835184363
Other,Vegetables,28.1,1000,2500,1750,2024-09-03,189,1500,0.01604797258709309
Other,Vegetables,28.1,1000,4000,2500,2024-11-06,253,3000,0.011235505797680928
Other,Vegetables,28.8,1000,3000,2000,2024-10-28,244,2000,0.0143928035982009
Other,Vegetables,30.1,1000,2000,1500,2024-08-19,174,1000,0.02005329780146569
Other,Vegetables,30.1,1000,2500,1750,2024-05-07,70,1500,0.017190177041690465
Other,Vegetables,30.1,1000,3000,2000,2024-10-21,237,2000,0.01504247876061969
Other,Vegetables,30.6,1000,3500,2250,2024-10-30,246,2500,0.013593958240781875
Other,Vegetables,31.6,1200,2200,1700,2024-07-09,133,1000,0.018577307466196357
Other,Vegetables,31.9,1000,3500,2250,2024-10-24,240,2500,0.014171479342514438
Other,Vegetables,32.5,1000,3000,2000,2024-09-09,195,2000,0.016241879060469765
Other,Vegetables,33.6,1000,4000,2500,2024-11-11,258,3000,0.013434626149540184
Other,Vegetables,34.3,1500,5000,3250,2024-11-15,262,3500,0.010550599815441401
Other,Vegetables,35.5,1000,2500,1750,2024-08-27,182,1500,0.02027412906910337
Other,Vegetables,35.6,1000,2000,1500,2024-08-21,176,1000,0.023717521652231847
Other,Vegetables,35.6,1000,5000,3000,2024-11-18,265,4000,0.011862712429190271
Other,Vegetables,35.8,1000,2000,1500,2024-10-29,245,1000,0.023850766155896066
Other,Vegetables,36.0,1000,2500,1750,2024-10-07,223,1500,0.020559680182752713
Other,Vegetables,36.4,1000,4000,2500,2024-10-03,219,3000,0.014554178328668533
Other,Vegetables,36.5,1000,3500,2250,2024-10-22,238,2500,0.016215015548645045
Other,Vegetables,36.5,1000,4000,2500,2024-11-14,261,3000,0.014594162335065974
Other,Vegetables,37.7,1000,2500,1750,2024-06-10,104,1500,0.021530553969160482
Other,Vegetables,38.4,1000,2200,1600,2024-07-10,134,1200,0.023985009369144283
Other,Vegetables,38.5,1000,3000,2000,2024-10-16,232,2000,0.01924037981009495
Other,Vegetables,38.6,1000,2500,1750,2024-05-16,79,1500,0.022044545973729297
Other,Vegetables,38.8,1000,2500,1750,2024-05-21,84,1500,0.022158766419189034
Other,Vegetables,38.9,1000,2500,1750,2024-06-04,98,1500,0.022215876641918902
Other,Vegetables,39.0,1000,2200,1600,2024-05-08,71,1200,0.024359775140537165
Other,Vegetables,39.2,1000,4000,2500,2024-11-03,250,3000,0.01567373050779688
Other,Vegetables,39.4,1500,4000,2750,2024-11-13,260,2500,0.014322064703744093
Other,Vegetables,39.5,1000,5000,3000,2024-11-07,254,4000,0.013162279240253249
Other,Vegetables,39.7,1000,2500,1750,2024-07-29,153,1500,0.022672758423757853
Other,Vegetables,40.0,500,3000,1750,2024-10-09,225,2500,0.022844089091947458
Other,Vegetables,40.2,1000,3000,2000,2024-06-26,120,2000,0.020089955022488757
Other,Vegetables,40.2,1000,3200,2100,2024-05-20,83,2200,0.019133745835316518
Other,Vegetables,40.3,1000,2500,1750,2024-06-24,118,1500,0.023015419760137063
Other,Vegetables,41.7,1000,2500,1750,2024-08-26,181,1500,0.023814962878355227
Other,Vegetables,42.2,1000,2500,1750,2024-05-15,78,1500,0.02410051399200457
Other,Vegetables,42.6,1000,2200,1600,2024-05-30,93,1200,0.02660836976889444
Other,Vegetables,42.9,500,2200,1350,2024-07-18,142,1700,0.03175425610658771
Other,Vegetables,43.0,1500,5500,3500,2024-11-21,268,4000,0.01228220508426164
Other,Vegetables,43.1,1000,2500,1750,2024-06-06,100,1500,0.024614505996573388
Other,Vegetables,43.2,1000,2200,1600,2024-04-25,58,1200,0.026983135540287324
Other,Vegetables,43.3,1000,3000,2000,2024-10-17,233,2000,0.0216391804097951
Other,Vegetables,43.4,1000,2600,1800,2024-09-12,198,1600,0.024097723486951692
Other,Vegetables,43.4,1000,3000,2000,2024-09-30,216,2000,0.021689155422288855
Other,Vegetables,44.0,1400,3500,2450,2024-11-01,248,2100,0.01795185638514892
Other,Vegetables,44.4,1000,2000,1500,2024-07-23,147,1000,0.029580279813457695
Other,Vegetables,44.5,1000,2500,1750,2024-05-29,92,1500,0.02541404911479155
Other,Vegetables,44.6,1000,2500,1750,2024-07-01,125,1500,0.025471159337521417
Other,Vegetables,45.0,1000,2000,1500,2024-05-23,86,1000,0.029980013324450366
Other,Vegetables,45.6,1000,4000,2500,2024-11-12,259,3000,0.018232706917233107
Other,Vegetables,45.8,1000,2200,1600,2024-06-03,97,1200,0.028607120549656462
Other,Vegetables,46.0,1000,2500,1750,2024-06-17,111,1500,0.026270702455739578
Other,Vegetables,46.4,1000,2200,1600,2024-08-05,160,1200,0.02898188632104934
Other,Vegetables,46.5,1000,2200,1600,2024-07-17,141,1200,0.029044347282948156
Other,Vegetables,46.6,1000,2200,1600,2024-04-24,57,1200,0.02910680824484697
Other,Vegetables,46.8,1000,2500,1750,2024-06-19,113,1500,0.026727584237578525
Other,Vegetables,46.9,1000,2500,1750,2024-06-12,106,1500,0.026784694460308393
Other,Vegetables,47.0,1000,2500,1750,2024-04-29,62,1500,0.026841804683038265
Other,Vegetables,47.9,1000,2200,1600,2024-06-11,105,1200,0.029918800749531543
Other,Vegetables,47.9,1000,3500,2250,2024-10-11,227,2500,0.021279431363838294
Other,Vegetables,48.0,1000,2200,1600,2024-08-06,161,1200,0.029981261711430358
Other,Vegetables,48.4,1000,3500,2250,2024-10-14,230,2500,0.021501554864504665
Other,Vegetables,48.6,1000,3000,2000,2024-06-20,114,2000,0.024287856071964018
Other,Vegetables,49.1,1000,2500,1750,2024-05-22,85,1500,0.028041119360365505
Other,Vegetables,49.1,1000,3500,2250,2024-10-10,226,2500,0.021812527765437583
Other,Vegetables,49.1,1000,3500,2250,2024-10-23,239,2500,0.021812527765437583
Other,Vegetables,49.7,1000,3000,2000,2024-10-04,220,2000,0.024837581209395304
Other,Vegetables,49.8,1000,2000,1500,2024-09-11,197,1000,0.03317788141239174
Other,Vegetables,49.9,1000,3000,2000,2024-09-23,209,2000,0.024937531234382807
Other,Vegetables,50.0,1000,3000,2000,2024-10-02,218,2000,0.02498750624687656
Other,Vegetables,50.1,800,2000,1400,2024-03-27,29,1200,0.03576017130620985
Other,Vegetables,50.1,1000,6000,3500,2024-11-22,269,5000,0.0143101970865467
Other,Vegetables,50.2,1000,2000,1500,2024-09-24,210,1000,0.03344437041972019
Other,Vegetables,50.6,1000,2000,1500,2024-07-03,127,1000,0.033710859427048635
Other,Vegetables,50.6,1000,2000,1500,2024-07-16,140,1000,0.033710859427048635
Other,Vegetables,50.6,1000,2500,1750,2024-09-16,202,1500,0.028897772701313537
Other,Vegetables,51.0,1000,2200,1600,2024-05-06,69,1200,0.03185509056839475
Other,Vegetables,51.1,1000,2200,1600,2024-05-09,72,1200,0.03191755153029357
Other,Vegetables,51.1,1500,5000,3250,2024-11-19,266,3500,0.015718240541371886
Other,Vegetables,51.5,1000,3000,2000,2024-10-15,231,2000,0.02573713143428286
Other,Vegetables,51.6,1000,2500,1750,2024-09-10,196,1500,0.02946887492861222
Other,Vegetables,52.1,1000,2200,1600,2024-05-27,90,1200,0.0325421611492817
Other,Vegetables,52.1,1000,5500,3250,2024-11-17,264,4500,0.016025838203629652
Other,Vegetables,52.5,1000,2000,1500,2024-04-15,48,1000,0.03497668221185876
Other,Vegetables,52.6,1000,3000,2000,2024-10-01,217,2000,0.026286856571714142
Other,Vegetables,52.7,1000,3000,2000,2024-09-02,188,2000,0.0263368315842079
Other,Vegetables,53.5,1000,2000,1500,2024-07-24,148,1000,0.03564290473017988
