Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator
 Local, Vegetables,1103.0,400,1400,900,2024-05-17,136,1000,1.2241953385127635
 Local, Vegetables,1541.3,600,2000,1300,2024-06-02,152,1400,1.1847040737893928
 Local, Vegetables,1174.0,800,2400,1600,2024-05-29,148,1600,0.7332916926920675
 Local, Vegetables,793.6,800,2400,1600,2024-10-18,290,1600,0.4956901936289819
 Local, Vegetables,1352.3,2000,4600,3300,2024-10-29,301,2600,0.409663738261133
 Local, Vegetables,1410.0,1600,4800,3200,2024-05-27,146,3200,0.44048734770384257
 Local, Vegetables,869.2,800,2200,1500,2024-07-16,196,1400,0.5790806129247169
 Local, Vegetables,806.7,1300,3100,2200,2024-11-17,320,1800,0.3665152203543844
 Local, Vegetables,1310.4,2200,6000,4100,2024-02-13,42,3800,0.31953182150694953
 Local, Vegetables,1221.6,1500,3000,2250,2025-12-02,700,1500,0.5426921368280764
 Local, Vegetables,1315.9,2000,6500,4250,2024-07-22,202,4500,0.3095506939543637
 Local, Vegetables,737.8,1200,3000,2100,2024-03-05,63,1800,0.35116611137553544
 Local, Vegetables,1830.8,600,1800,1200,2024-06-14,164,1200,1.5243963363863446
 Local, Vegetables,1022.7,800,3000,1900,2024-03-15,73,2200,0.5379800105207786
 Local, Vegetables,2338.0,600,1800,1200,2024-08-27,238,1200,1.9467110741049125
 Local, Vegetables,999.9,2500,4100,3300,2024-06-13,163,1600,0.3029082096334444
 Local, Vegetables,795.2,1000,3000,2000,2024-04-16,105,2000,0.39740129935032487
 Local, Vegetables,1238.2,500,1500,1000,2024-05-31,150,1000,1.236963036963037
 Local, Vegetables,1060.7,900,2500,1700,2024-09-25,267,1600,0.6235743680188125
 Local, Vegetables,888.8,3000,4800,3900,2024-01-08,6,1800,0.22783901563701614
 Local, Vegetables,1167.7,1400,3000,2200,2025-03-19,442,1600,0.5305315765561108
 Local, Vegetables,1683.4,400,1400,900,2024-12-01,334,1000,1.8683684794672586
 Local, Vegetables,1683.9,700,2300,1500,2024-01-13,11,1600,1.1218520986009328
 Local, Vegetables,641.9,1400,2500,2050,2025-11-04,672,1100,0.3129692832764505
 Local, Vegetables,670.1,2000,5500,3750,2024-12-23,356,3500,0.1786456944814716
 Local, Vegetables,1422.6,1500,3000,2250,2024-02-14,43,1500,0.6319857840959573
 Local, Vegetables,1586.3,1600,3200,2400,2025-06-21,536,1600,0.660683048729696
 Local, Vegetables,1120.4,800,3000,1900,2024-08-09,220,2200,0.5893740136770121
 Local, Vegetables,1146.3,1600,3200,2400,2024-06-23,173,1600,0.47742607246980423
 Local, Vegetables,1296.5,800,3000,1900,2024-03-07,65,2200,0.6820094687006838
 Local, Vegetables,1950.5,600,1800,1200,2024-07-17,197,1200,1.6240632805995003
 Local, Vegetables,675.3,1200,3100,2150,2024-10-01,273,1900,0.3139470013947001
 Local, Vegetables,818.5,2500,4200,3350,2024-11-10,313,1700,0.24425544613548195
 Local, Vegetables,1547.9,2200,6500,4350,2024-01-03,1,4300,0.3557572971730637
 Local, Vegetables,1511.2,1600,3500,2550,2025-02-20,415,1900,0.5923951391611133
 Local, Vegetables,1909.3,1400,2700,2050,2025-03-13,436,1300,0.9309117503656753
 Local, Vegetables,1743.5,600,1800,1200,2024-03-27,85,1200,1.451706910907577
 Local, Vegetables,1301.6,500,1700,1100,2024-06-24,174,1200,1.1821980018165303
 Local, Vegetables,774.2,1000,3000,2000,2024-06-16,166,2000,0.3869065467266367
 Local, Vegetables,1172.4,800,3000,1900,2024-09-06,248,2200,0.6167280378748028
 Local, Vegetables,1149.5,3200,4500,3850,2024-01-15,13,1300,0.298493897688912
