Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Days,Price Range,Demand Indicator
Local,Vegetables,116.8,600,2500,1550,2024-06-17,167,1900,0.07530625402965828
Local,Vegetables,133.2,2000,4000,3000,2024-06-20,170,2000,0.04438520493168943
Local,Vegetables,138.6,2500,5000,3750,2024-05-29,148,2500,0.03695014662756598
Local,Vegetables,144.0,1000,2200,1600,2024-10-21,293,1200,0.08994378513429106
Local,Vegetables,161.3,1000,4500,2750,2024-03-18,76,3500,0.058633224282079247
Local,Vegetables,170.8,1000,1600,1300,2024-10-28,300,600,0.1312836279784781
Local,Vegetables,179.2,600,3000,1800,2024-01-23,21,2400,0.09950027762354247
Local,Vegetables,196.5,500,1200,850,2025-03-15,438,700,0.2309048178613396
Local,Vegetables,206.4,1000,1800,1400,2024-08-01,212,800,0.14732334047109208
Local,Vegetables,220.5,600,2500,1550,2024-05-15,134,1900,0.14216634429400388
Local,Vegetables,232.3,600,1400,1000,2024-11-08,311,800,0.23206793206793208
Local,Vegetables,261.1,600,2000,1300,2024-10-07,279,1400,0.20069177555726367
Local,Vegetables,109.5,1500,6000,3750,2024-07-22,202,4500,0.029192215409224207
Local,Vegetables,118.7,2500,6500,4500,2024-10-02,274,4000,0.026371917351699622
Local,Vegetables,136.4,1000,4500,2750,2024-10-10,282,3500,0.04958197019265722
Local,Vegetables,165.7,1500,4500,3000,2024-08-20,231,3000,0.05521492835721426
Local,Vegetables,173.1,1000,3000,2000,2024-04-19,108,2000,0.08650674662668666
Local,Vegetables,176.6,600,1400,1000,2024-09-12,254,800,0.17642357642357642
Local,Vegetables,176.6,600,2000,1300,2024-12-24,357,1400,0.13574173712528823
Local,Vegetables,191.5,1000,2500,1750,2024-05-28,147,1500,0.10936607652769846
Local,Vegetables,191.6,1000,2200,1600,2024-02-27,56,1200,0.11967520299812617
Local,Vegetables,211.6,600,1200,900,2025-11-05,673,600,0.234850166481687
Local,Vegetables,217.5,600,2000,1550,2024-07-26,206,1400,0.1402321083172147
Local,Vegetables,222.8,1500,4500,3000,2024-08-18,229,3000,0.07424191936021327
Local,Vegetables,259.4,1000,1600,1300,2024-03-31,89,600,0.1993850883935434
Local,Vegetables,298.3,600,1400,1000,2024-01-19,17,800,0.298001998001998
Local,Vegetables,317.3,500,1000,750,2025-08-11,587,500,0.42250332889480696
Local,Vegetables,331.7,600,2000,1300,2024-01-12,10,1400,0.2549577248270561
Local,Vegetables,2996.0,600,1500,1050,2025-10-29,666,900,2.850618458610847
Local,Vegetables,0.3,4000,7000,5500,2024-09-03,245,3000,5.4535538992910375e-05
Local,Vegetables,99.8,600,2000,1300,2024-06-03,153,1400,0.07671022290545734
Local,Vegetables,108.1,1200,3500,2350,2024-07-15,195,2300,0.045980433857932795
Local,Vegetables,112.4,2000,6000,4000,2024-08-21,232,4000,0.028092976755811048
Local,Vegetables,120.8,1000,3000,2000,2024-01-20,18,2000,0.060369815092453774
Local,Vegetables,137.4,600,1200,900,2025-08-05,581,600,0.15249722530521642
Local,Vegetables,150.5,1000,2000,1500,2024-10-09,281,1000,0.10026648900732844
Local,Vegetables,161.7,1000,4500,2750,2024-07-31,211,3500,0.05877862595419847
